Timestamp;Bar1;Bar2;Bar3;Bar4;UpperIND1;UpperIND2;UpperIND3;UpperIND4;Hours;Timer;LowIND11;LowIND12;LowIND13;LowIND14;LowIND21;LowIND22;LowIND23;LowIND24;LowIND31;LowIND32;LowIND33;LowIND34;LowIND41;LowIND42;LowIND43;LowIND44;FlagIsOk
2020-12-06 12:57:46;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:47;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:57:48;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:49;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:57:49;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:50;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:57:51;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:52;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:57:53;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:54;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:57:55;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:56;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:57:57;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:57:58;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
